Addr,Lat,Lon
"201 A,22nd A cross, 17 A cross, ,3rd sector, HSR layout,Bangalore,Karnataka,560102",12.9086444,77.6437984
"Parinitha,Jairam estate, Jakkur,nan,Bangalore,Karnataka,560064",13.0672496,77.6084049
"2038,Indiranagar,HAL 2nd stage,Bangalore,Karnataka,560008",12.9673053,77.6433089
"71,GP Rajarampur 9th main,Hanumanthnagar,Bangalore,Karnataka,560019",24.3573495,88.1860087
"nan,Jp Nagara 9Th Phade,nan,Banagalore,Karnataka,560062",12.8682661,77.5633748
"173,Ak Colony Strrt ,nan,Banagalore,Karnataka,560045",12.9435113,77.6088608
"45,8Th Cross ,Vijayanagar,Banagalore,Karnataka,560072",12.973075,77.5219166
"42,Kamanahalli,Banagalore,Banagalore,Karnataka,560889",13.0173525,77.6335088
"nan,Sam,Kj Hali,Banagalore,Karnataka,560045",13.0262152,77.6199836
"42/1,Dinnur Mail Road,Banagalore,Banagalore,Karnataka,nan",13.0243415,77.5992459
"35,15TH CROSS SAGARPPURAM,NEAR LINGARAJPURAM,BANGALORE,KARNATAKA,560084",13.0053732,77.5780788
"M16,SECTOR 15, JEEVANBIMANAGAR,nan,BANGALORE,KARNATAKA,560075",12.964163,77.658076
"10, SILKBOARD COLONY,16TH MAIN, 5TH CROSS,HONGASANDRA, BEGUR ROAD,BANGALORE,KARNATAKA,560068",12.8886804,77.6228018
"11,5 'C' CROSS, 16TH MAIN,BTM 2ND STAGE,BANGALORE,KARNATAKA,560076",12.9105439,77.6118406
"323,3rd Main,JP Nagar phase 3,Bengaluru,Karnataka,560078",12.8940737,77.583809
"323,3rd Main,JP Nagar phase 3,Bengaluru,Karnataka,560078",12.8940737,77.583809
"652 Kamalhenu Apt,11th Main,A G B Layout Chikkasandra,Bengaluru,Karnataka,560090",13.0694028,77.5071285
"652 Kamalhenu Apt,11th Main,A G B Layout Chikkasandra,Bengaluru,Karnataka,560090",13.0694028,77.5071285
"91,203,3rd cross,Vayustutivarbhav Purandar Dasam,Akshaya Nagar,Bengaluru,Karnataka,560068",13.0076932,77.6682976
"91,203,3rd cross,Vayustutivarbhav Purandar Dasam,Akshaya Nagar,Bengaluru,Karnataka,560068",13.0076932,77.6682976
"91,203,3rd cross,Vayustutivarbhav Purandar Dasam,Akshaya Nagar,Bengaluru,Karnataka,560068",13.0076932,77.6682976
"91,203,3rd cross,Vayustutivarbhav Purandar Dasam,Akshaya Nagar,Bengaluru,Karnataka,560068",13.0076932,77.6682976
